Row,Column  TimeOfArrival        OpenRow  CloseRow
     40,23              0             40        40
     41,34             10            100       100
     40,34            100            160       160
     40,34            200            220       240
     50,40            390            450       430
     50,22            450            470       490
     50,22            460            490       550
     50,23            490            510       610
     50,22            550            570       670
     40,22            650            710       730
     50,32            750            810       790
